"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"00210012022","0.59","0.78","1.16","3.72","5.03","2.79","3.08","3.75","1.52","0.68","1.77","1.9","1202","Maine"
"00220012020","8.72","9.64","6.1","7.21","3.77","6.35","6","4.65","3.57","5.24","2.84","4.75","1202","Maryland"
"00220012021","3.76","5.11","7.7","6.96","4.93","9.59","7.23","7.53","4.76","3.17","1.26","3.5","1202","Maryland"
"00220012022","3.82","5.1","6.93","6.14","4.74","2.79","5.36","9.14","1.6","2.14","5.57","6.11","1202","Maryland"
"00230012020","4.41","2.51","5.51","3.98","6.26","3.64","5.77","2.91","3.1","3.68","3.04","1.53","1202","Massachusetts"
"00230012021","3.32","1.15","5.24","4.36","4.99","5.57","4.86","2.99","2.33","5.97","1.04","2.19","1202","Massachusetts"
"00230012022","1.7","2.97","4.41","4.52","6.25","2.75","4","3.87","1.69","2.73","3.22","2.16","1202","Massachusetts"
"00240012020","1.2","1.22","0.94","1.15","2.48","3.43","1.08","0.47","0.94","2.07","1.23","0.68","1202","Michigan"
"00240012021","0.75","1.39","0.58","1","2.48","0.83","0.65","2.05","0.43","1.49","0.99","1.67","1202","Michigan"
"00240012022","0.97","0.85","0.96","1.93","2.39","2.89","1.81","0.88","1.05","1.62","1.35","1.57","1202","Michigan"
"00250012020","0.58","0.25","1.92","0.75","4.06","2.53","4.11","0.92","1.04","0.65","0.81","0.62","1202","Minnesota"
"00250012021","0.66","0.62","4.11","1.39","3.56","2.22","2.54","2.84","2.06","1.96","0.31","0.33","1202","Minnesota"
"00250012022","0.25","0.12","0.86","1.65","3.64","1.78","3.09","1.01","1.35","0.56","0.31","0.97","1202","Minnesota"
"00260012020","0.7","0.37","1.26","0.68","0.63","0.56","0.1","0.12","0.07","0.06","0.72","0.59","1202","Mississippi"
"00260012021","0.95","0.83","0.89","0.43","0.67","0.17","0.84","0.24","0.27","2","0.18","2.11","1202","Mississippi"
"00260012022","0.14","0.23","0.64","0.54","0.48","0.17","0.48","1.49","0.85","0.34","1","2.1","1202","Mississippi"
"00270012020","2.74","3.35","3.08","4.79","2.72","2.47","4.6","2.66","1.69","5.65","3.08","4.97","1202","Missouri"
"00270012021","2.15","2.69","1.8","3.94","2.99","2.22","10.58","3.6","4.73","4.94","2.85","3.49","1202","Missouri"
"00270012022","2.18","4.3","3.07","4.3","2.82","3.07","3.75","3.74","5.71","3.68","3.65","5.74","1202","Missouri"
"00280012020","2.29","2.79","3.61","3.98","2.47","3.05","6.69","6.09","4.41","5.03","4.09","5.35","1202","Montana"
"00280012021","1.86","4.73","3.84","2.35","3.84","3.37","7.62","6.59","6.34","5.06","1.01","1.26","1202","Montana"
"00280012022","3.37","2.71","2.63","5.03","5.26","3.39","2.09","2.35","3.11","6.44","2.88","4.84","1202","Montana"
"00290012020","0.52","0.81","1.2","0.19","0.2","0.46","2.2","0.71","0.8","0.58","0.28","0.4","1202","Nebraska"
"00290012021","0.48","0.39","0.54","0.37","1.09","1.72","2.92","2.37","1.27","0.57","0.1","0.52","1202","Nebraska"
"00290012022","0.35","0.29","0.5","0.05","0.18","2.45","2.37","3.5","1.07","2.35","0.36","0.63","1202","Nebraska"
"00300012020","2.78","3.03","2.89","3.15","3.03","2.38","4.1","4.61","2.58","3.95","2.78","4","1202","Nevada"
"00300012021","2.06","2.34","1.74","3.46","3.04","3.36","8.1","5.33","4.92","6.6","2.67","2.63","1202","Nevada"
"00300012022","2.07","3.84","3.07","4.64","3.12","3.8","3.28","3.68","5.07","2.39","3.87","4.27","1202","Nevada"
"00310012020","4.37","7.01","3.31","5.32","7.62","5.04","4.19","7.98","6.8","4.21","6.15","4.55","1202","New Hampshire"
"00310012021","4.63","6.54","4.13","1.95","2.47","6.25","5.88","6.06","3.21","3.26","0.91","2.31","1202","New Hampshire"
"00310012022","4.8","2.97","3.97","2.94","4.73","2.19","6.6","4.58","4.04","2.32","4.13","3.36","1202","New Hampshire"
"00320012020","0.38","0.17","0.24","0.8","1.39","2.48","3.94","2.08","0.53","0.57","0.11","0.23","1202","New Jersey"
"00320012021","0.25","0.18","0.12","0.66","2.07","2.49","1.26","2.72","1.21","3.34","0.45","0.88","1202","New Jersey"
"00320012022","0.47","0.33","0.21","3.7","4.08","2.39","2.78","1.38","0.65","0.68","0.7","1.49","1202","New Jersey"
"00330012020","3.51","2.98","4.98","3.66","5.11","3.12","3.16","3.71","3.18","4.19","2.51","2.21","1202","New Mexico"
"00330012021","1.98","2.03","2.98","2.88","3.79","4.25","5.66","4.29","3.79","4.64","1.56","3.83","1202","New Mexico"
"00330012022","2.32","4.83","2.82","2.96","5.39","3.82","5.06","4.1","3.06","1.38","2.8","1.7","1202","New Mexico"
"00340012020","3.6","1.83","5.17","2.92","5.07","2.09","4.75","2.79","4.4","3.21","1.1","2.28","1202","New York"
"00340012021","2.25","0.8","3.19","3.44","5.6","5.04","3.68","2.56","1.09","4.2","0.9","0.87","1202","New York"
"00340012022","0.65","1.7","2.59","2.65","6.29","3.71","1.61","2.16","0.79","2.85","2.66","1.91","1202","New York"
"00350012020","6.75","2.17","2.39","1.37","2.99","1.99","0.12","0.15","0.89","1.36","4.6","3.98","1202","North Carolina"
"00350012021","4.51","4.47","1.84","0.66","1.07","0.97","0.16","0.21","1.88","3.12","3.86","5.76","1202","North Carolina"
"00350012022","3.17","1.32","2.18","4.15","3.71","2.68","0.22","0.3","0.54","1.4","4.14","5.7","1202","North Carolina"
"00360012020","3.05","3.35","4.27","4.51","3.47","3.17","3.57","4.37","2.46","3.63","2.97","4.44","1202","North Dakota"
"00360012021","1.79","3.02","2.81","2.79","4.28","3.54","6.24","5.89","6.98","4.61","1.73","2.43","1202","North Dakota"
"00360012022","2.54","4.3","2.75","4.3","5.15","3.58","3.27","3.74","4.79","2.91","3.89","3.69","1202","North Dakota"
"00370012020","1.5","3.3","4.46","5.4","3.17","2.84","1.73","1.78","1.17","5.81","5.38","7.98","1202","Ohio"
"00370012021","2.29","3.64","2.8","3.49","5.12","2.31","7.35","5.26","7.47","5.94","2.21","1.97","1202","Ohio"
