"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"0150022022","31.20","38.40","49","54.4","67.6","74.1","78.3","75.4","68.2","55.1","47","37.9","2022","Kentucky"
"0160022020","53.70","54.00","67.3","66.6","73","79.7","82.8","82.2","77.6","68.2","61.9","50.9","2020","Louisiana"
"0160022021","50.60","47.80","62.2","64.7","72.3","80.4","81.8","82.6","76.9","71.7","56.4","62.4","2021","Louisiana"
"0160022022","48.20","51.40","59","67.5","77.1","82.7","84","81.9","77.3","66.4","58.2","54.2","2022","Louisiana"
"0170022020","20.80","20.10","29.6","37.7","51.2","62.5","68.9","65.6","56.8","44.7","37","27.2","2020","Maine"
"0170022021","21.40","18.50","29.4","43.2","52.4","64.9","63.7","68.2","59","50.2","35.3","24.5","2021","Maine"
"0170022022","10.90","19.50","29","40.6","54.3","60.1","67.7","67.3","57.1","49.2","37.4","27.6","2022","Maine"
"0180022020","39.10","41.00","49.3","51.6","60.5","72.7","80.1","76.6","67.3","59","50.9","38.3","2020","Maryland"
"0180022021","35.40","34.20","47.2","55","62.2","73.1","77.2","77.1","69.6","62.9","44.4","43.8","2021","Maryland"
"0180022022","31.00","38.50","46.6","53.1","64.6","72.1","77.7","76.6","68.4","54.5","48.7","36.5","2022","Maryland"
"0190022020","32.00","32.40","40.2","43.1","56.2","67.6","74.6","71.7","62.8","52.4","44.7","33.1","2020","Massachusetts"
"0190022021","28.80","27.60","38.3","47.8","57.6","69.2","69.8","72.7","64.8","56.3","40.8","36","2021","Massachusetts"
"0190022022","23.50","30.00","38.2","47.1","59.9","65.5","73.3","73.8","62.4","52.5","44.8","33.2","2022","Massachusetts"
"0200022020","27.00","23.70","35","40.2","53.2","66","72.5","68.6","58.2","44.4","41.1","28.6","2020","Michigan"
"0200022021","25.00","17.40","36.8","45.1","54","67.8","68.7","71","61.4","55.2","36.3","30.1","2021","Michigan"
"0200022022","15.40","19.50","31","40.2","57.6","65","69.2","68.2","60.9","48.2","38.7","26.9","2022","Michigan"
"0210022020","14.10","14.00","30.4","39.4","53.5","67.7","71.3","68.2","56.5","38.9","33.9","21","2020","Minnesota"
"0210022021","18.20"," 6.50","35.6","42.3","55.1","69.9","71.1","69.4","61.6","51.5","32.2","18.2","2021","Minnesota"
"0210022022"," 3.60"," 6.50","26.1","35.6","55.4","66.2","69.7","67.3","60.2","47","30.1","12.6","2022","Minnesota"
"0220022020","50.10","51.10","64.1","62.9","70.3","78.1","82.1","80.2","75.3","65.8","58.4","47","2020","Mississippi"
"0220022021","46.60","44.20","60","61.8","69.9","78.1","80.4","80.8","74.8","68.3","52.7","58.6","2021","Mississippi"
"0220022022","44.30","49.00","57.1","63.9","75","81.3","82.8","80.2","75","63.1","55","50.1","2022","Mississippi"
"0230022020","34.50","35.40","48.8","53.1","62","75.1","79.2","74.2","67.3","53.6","49.6","36.3","2020","Missouri"
"0230022021","33.60","24.40","49.9","54.2","62.3","74.9","76.7","77.4","71.5","60.5","45.5","44.7","2021","Missouri"
